Data da Venda,Nome do Produto,Categoria do Produto,Preço Unitário do Produto,Custo de Produção Unitário,Quantidade Vendida,Nome do Funcionário,Região do Fast Food,Tempo de Atendimento (min),Tipo de Atendimento,Nome do Cliente,Idade do Cliente,Gênero do Cliente,Email do Cliente,Valor Total de Venda,Custo Total de Produção,Lucro,Horário do Pedido,Estado
11/06/2022, Batata Frita  ,Acompanhamento ,9.99,3,1,Larry Butler,Sul,2,Drive-Thru,Erika Ross,44,Masculino,atkinsonlisa@gmail.com,9.99,3,6.99,Noite,Texas (TX)
07/04/2023, Refrigerante  ,Bebida ,4.99,1,1,Michele Fisher,Sul,11,Balcão,Danielle Rodriguez,26,Masculino,lee70@lee.com,4.99,1,3.99,Noite,Texas (TX)
12/17/2022, Sundae  ,Sobremesa ,7.99,3,7,Ryan Johnson,Leste,14,Balcão,Jessica Kim,29,Feminino,matthew33@hotmail.com,55.93,21,34.93,Noite,Florida (FL)
12/05/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,4,Stephen Watson,Leste,4,Drive-Thru,Chad Bonilla,48,Feminino,devinjones@hotmail.com,59.96,28,31.96,Noite,Florida (FL)
07/31/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Robert King Jr.,Centro,8,Drive-Thru,Kayla Harris,21,Masculino,rcohen@dennis.com,99.9,30,69.9,Noite,Illinois (IL)
04/03/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,1,Courtney Barr,Centro,6,Delivery,Donna Olson,60,Feminino,paulpatel@campos-wilson.net,19.99,10,9.989999999999998,Noite,Illinois (IL)
09/17/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,5,Daniel Lee,Norte,2,Balcão,Courtney Oliver,26,Feminino,denisemiller@yahoo.com,99.95,50,49.94999999999999,Noite,New York (NY)
09/21/2022, Milkshake  ,Sobremesa ,10.99,5,6,Nathaniel Lang Jr.,Oeste,1,Balcão,Sarah Clark,34,Feminino,christine13@martinez.info,65.94,30,35.94,Noite,California (CA)
12/06/2021, Refrigerante  ,Bebida ,4.99,1,8,Lisa Welch,Sul,13,Delivery,Philip Ortiz,69,Feminino,john13@hotmail.com,39.92,8,31.92,Noite,Texas (TX)
02/04/2022, Batata Frita  ,Acompanhamento ,9.99,3,4,Lance Bailey,Oeste,3,Delivery,Lori Reeves,57,Masculino,njacobson@chavez.net,39.96,12,27.96,Noite,California (CA)
06/18/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Mr. Craig Salas Jr.,Oeste,2,Drive-Thru,Daniel Young,70,Feminino,rachelgreen@mccarthy-rich.com,134.91,63,71.91,Noite,California (CA)
06/04/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,7,Elizabeth Wise,Sul,13,Delivery,Wayne Phillips,59,Feminino,patrick06@yahoo.com,104.93,49,55.93000000000001,Noite,Texas (TX)
08/23/2022, Batata Frita  ,Acompanhamento ,9.99,3,4,Dylan Evans,Leste,2,Balcão,Susan Burton,30,Feminino,kwelch@fisher.com,39.96,12,27.96,Noite,Florida (FL)
05/13/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,4,Rebecca Moore,Centro,5,Drive-Thru,Pamela Rivas,36,Feminino,nortiz@yahoo.com,59.96,28,31.96,Noite,Illinois (IL)
05/29/2022, Refrigerante  ,Bebida ,4.99,1,9,Chase Mack,Centro,10,Drive-Thru,Alan Spears,34,Masculino,cherylcarroll@clark-manning.net,44.91,9,35.910000000000004,Noite,Illinois (IL)
11/06/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,Kaitlin Sheppard,Norte,3,Drive-Thru,William Kelly,26,Masculino,leetodd@hotmail.com,59.97,30,29.97,Noite,New York (NY)
11/12/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Felicia Kelley,Sul,13,Delivery,Amy Taylor,45,Feminino,michelleriggs@yang.biz,99.9,30,69.9,Noite,Texas (TX)
06/18/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,4,Malik Stone,Centro,12,Drive-Thru,Gabriel Weeks,70,Masculino,shubbard@dixon.com,79.96,40,39.96,Noite,Illinois (IL)
05/04/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,10,Michelle Long,Leste,10,Delivery,Antonio Rivera,43,Masculino,colleenhoward@hotmail.com,149.9,70,79.9,Noite,Florida (FL)
07/29/2023, Batata Frita  ,Acompanhamento ,9.99,3,6,Nicholas Knight,Sul,14,Drive-Thru,Howard Mueller,52,Feminino,garciahannah@holland-ramos.biz,59.94,18,41.94,Noite,Texas (TX)
05/04/2023, Sundae  ,Sobremesa ,7.99,3,10,Caitlyn Paul,Sul,14,Delivery,Yvonne Bates,58,Masculino,hardycaitlyn@yahoo.com,79.9,30,49.900000000000006,Noite,Texas (TX)
09/09/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,6,Tony Aguilar,Leste,4,Delivery,Chad Cobb,50,Feminino,dunnpaul@gmail.com,89.94,42,47.94,Noite,Florida (FL)
08/25/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,2,Kimberly Hamilton,Sul,2,Balcão,Darlene Hamilton,45,Feminino,lowedeborah@erickson.com,29.98,14,15.98,Noite,Texas (TX)
07/07/2023, Milkshake  ,Sobremesa ,10.99,5,7,Nancy Sanders,Leste,8,Drive-Thru,Eric Johnson,60,Masculino,thomas08@farmer.net,76.93,35,41.93000000000001,Noite,Florida (FL)
04/25/2022, Sundae  ,Sobremesa ,7.99,3,10,Regina Martin,Norte,5,Balcão,Nicole Cabrera,68,Feminino,ayalarandy@gmail.com,79.9,30,49.900000000000006,Noite,New York (NY)
04/27/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,4,Dr. Lisa Ramirez,Leste,12,Drive-Thru,Maria Harrell,70,Feminino,robin01@gmail.com,79.96,40,39.96,Noite,Florida (FL)
08/16/2022, Refrigerante  ,Bebida ,4.99,1,1,Jessica Williams,Norte,6,Balcão,John Howard,65,Masculino,petersonkimberly@hotmail.com,4.99,1,3.99,Noite,New York (NY)
11/19/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,4,Jessica Williams,Oeste,2,Delivery,Amanda Sexton,61,Masculino,jbarrett@horne.biz,79.96,40,39.96,Noite,California (CA)
04/04/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Brittany Hughes,Leste,11,Balcão,Jessica Thomas,34,Feminino,perkinspatrick@atkinson-mendoza.com,134.91,63,71.91,Noite,Florida (FL)
06/14/2022, Batata Frita  ,Acompanhamento ,9.99,3,3,Jasmine Roberts,Oeste,15,Delivery,Kimberly Lopez,41,Feminino,lindsay30@gmail.com,29.97,9,20.97,Noite,California (CA)
08/17/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,10,Teresa Jones,Norte,6,Balcão,Tina Sanchez,34,Masculino,scott66@rodriguez.biz,199.9,100,99.89999999999998,Noite,New York (NY)
06/26/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,1,Anthony Dougherty,Oeste,4,Drive-Thru,James Cooper,67,Feminino,carrie07@myers.info,14.99,7,7.99,Noite,California (CA)
11/03/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,8,Matthew King,Norte,15,Drive-Thru,Edward Nelson,26,Masculino,jeverett@solis-powell.net,159.92,80,79.91999999999999,Noite,New York (NY)
07/24/2022, Refrigerante  ,Bebida ,4.99,1,4,Adrian Mccormick,Norte,10,Balcão,Olivia Bender,59,Masculino,nvazquez@hotmail.com,19.96,4,15.96,Noite,New York (NY)
08/16/2023, Batata Frita  ,Acompanhamento ,9.99,3,5,Natalie Walter,Norte,2,Drive-Thru,Sarah Byrd,23,Feminino,baileybradford@wolf-nolan.biz,49.95,15,34.95,Noite,New York (NY)
06/07/2023, Milkshake  ,Sobremesa ,10.99,5,1,Brandon Medina,Oeste,8,Balcão,Robert Carter,69,Feminino,uhernandez@davis-green.com,10.99,5,5.99,Noite,California (CA)
10/25/2022, Refrigerante  ,Bebida ,4.99,1,9,Dalton Robertson,Leste,10,Balcão,Sarah Brewer,45,Feminino,michael38@yahoo.com,44.91,9,35.910000000000004,Noite,Florida (FL)
06/09/2022, Refrigerante  ,Bebida ,4.99,1,5,John Barker,Leste,11,Balcão,Jessica Jackson,34,Masculino,billybass@hotmail.com,24.950000000000003,5,19.950000000000003,Noite,Florida (FL)
07/31/2022, Sundae  ,Sobremesa ,7.99,3,5,Robert Andrade,Leste,4,Balcão,Diane Baker,58,Masculino,brianholmes@smith.biz,39.95,15,24.950000000000003,Noite,Florida (FL)
07/02/2022, Milkshake  ,Sobremesa ,10.99,5,4,Diane Patterson,Oeste,4,Drive-Thru,Kevin Mitchell,31,Feminino,brandon40@patton-walker.com,43.96,20,23.96,Noite,California (CA)
09/12/2022, Batata Frita  ,Acompanhamento ,9.99,3,3,Shane Johnson,Oeste,15,Delivery,Brandon Johnston,61,Masculino,sergiocrawford@martinez.com,29.97,9,20.97,Noite,California (CA)
02/13/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Julie Johnson,Oeste,14,Balcão,Devin Pierce,37,Feminino,rodriguezanna@melendez-martinez.info,134.91,63,71.91,Noite,California (CA)
07/04/2023, Milkshake  ,Sobremesa ,10.99,5,1,Martha Singh MD,Norte,15,Delivery,Tracy Rodriguez,67,Masculino,michael11@holder.info,10.99,5,5.99,Noite,New York (NY)
12/11/2021, Batata Frita  ,Acompanhamento ,9.99,3,4,Elizabeth Mccarthy,Oeste,13,Balcão,Jennifer Lindsey,32,Feminino,williamyoung@peterson.com,39.96,12,27.96,Noite,California (CA)
05/12/2023, Refrigerante  ,Bebida ,4.99,1,2,Peggy Martin,Norte,13,Balcão,Karen Chambers,32,Masculino,tracy80@stevens-trevino.net,9.98,2,7.98,Noite,New York (NY)
06/18/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,6,Scott Mann,Oeste,5,Drive-Thru,Tyler Nash,55,Masculino,jordansandra@roach.com,119.94,60,59.94,Noite,California (CA)
02/12/2023, Refrigerante  ,Bebida ,4.99,1,5,Karen Price,Leste,12,Drive-Thru,Charles Houston,41,Masculino,toni77@shaw-simon.com,24.950000000000003,5,19.950000000000003,Noite,Florida (FL)
06/25/2022, Milkshake  ,Sobremesa ,10.99,5,4,Lisa Lane,Oeste,13,Delivery,Stacie Nguyen,69,Feminino,kelsey05@hotmail.com,43.96,20,23.96,Noite,California (CA)
03/09/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,2,Scott Sanders,Sul,8,Balcão,Patricia Jenkins,25,Feminino,barrlisa@yahoo.com,39.98,20,19.98,Noite,Texas (TX)
11/06/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Nancy Lawson,Centro,5,Drive-Thru,Brandy Smith,53,Feminino,smithhannah@diaz.com,134.91,63,71.91,Noite,Illinois (IL)
07/09/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,6,Randy Hernandez,Oeste,1,Delivery,Janet Mcdonald,59,Feminino,kevin20@potter-villanueva.com,89.94,42,47.94,Noite,California (CA)
04/01/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,1,George Patterson,Norte,3,Drive-Thru,Eric Hunt,51,Feminino,tinawilliams@kerr.com,14.99,7,7.99,Noite,New York (NY)
02/17/2023, Refrigerante  ,Bebida ,4.99,1,2,Shannon Nelson,Centro,13,Balcão,Sarah Harris,28,Feminino,dfrancis@yahoo.com,9.98,2,7.98,Noite,Illinois (IL)
10/23/2022, Refrigerante  ,Bebida ,4.99,1,10,Jaime Price,Oeste,8,Delivery,Melissa Evans,27,Masculino,michael83@yahoo.com,49.900000000000006,10,39.900000000000006,Noite,California (CA)
12/30/2022, Batata Frita  ,Acompanhamento ,9.99,3,6,Kelly Hart,Oeste,15,Delivery,Erica Brown,32,Masculino,yvonnefields@hotmail.com,59.94,18,41.94,Noite,California (CA)
11/20/2021, Hambúrguer Simples  ,Hambúrguer ,14.99,7,5,Bailey Garcia,Leste,3,Delivery,Jessica Goodwin,68,Feminino,cjennings@hotmail.com,74.95,35,39.95,Noite,Florida (FL)
06/11/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,7,Jessica Garcia,Norte,9,Delivery,William Clark,53,Feminino,sbarajas@gmail.com,104.93,49,55.93000000000001,Noite,New York (NY)
01/28/2022, Sundae  ,Sobremesa ,7.99,3,5,Benjamin Wilson,Centro,8,Delivery,Robert Wallace,37,Masculino,melanie40@hotmail.com,39.95,15,24.950000000000003,Noite,Illinois (IL)
09/13/2023, Milkshake  ,Sobremesa ,10.99,5,6,Christian Flowers,Oeste,13,Drive-Thru,Karen Martinez,22,Masculino,caroline12@mcgee.info,65.94,30,35.94,Noite,California (CA)
08/29/2023, Milkshake  ,Sobremesa ,10.99,5,5,Benjamin Zamora,Norte,6,Drive-Thru,Robert Turner,45,Feminino,kylie68@jones-davis.com,54.95,25,29.950000000000003,Noite,New York (NY)
08/05/2023, Sundae  ,Sobremesa ,7.99,3,7,Lonnie Snow,Centro,3,Delivery,Bobby Weaver,23,Masculino,lferguson@gmail.com,55.93,21,34.93,Noite,Illinois (IL)
09/15/2022, Sundae  ,Sobremesa ,7.99,3,9,Robert Kelly,Centro,7,Balcão,Rebecca Barnes,67,Masculino,franklinrhodes@frazier.org,71.91,27,44.91,Noite,Illinois (IL)
08/06/2023, Sundae  ,Sobremesa ,7.99,3,4,Megan Martinez,Centro,8,Delivery,Austin Barnes,23,Feminino,gregory58@gill.com,31.96,12,19.96,Noite,Illinois (IL)
02/21/2022, Milkshake  ,Sobremesa ,10.99,5,10,Mitchell Smith,Oeste,4,Drive-Thru,Patrick Knox,37,Feminino,mauricebishop@green.info,109.9,50,59.900000000000006,Noite,California (CA)
08/02/2023, Batata Frita  ,Acompanhamento ,9.99,3,7,Kelly Davis,Oeste,14,Delivery,Eric Aguirre,33,Masculino,stephaniewu@gmail.com,69.93,21,48.93000000000001,Noite,California (CA)
08/03/2022, Refrigerante  ,Bebida ,4.99,1,9,Austin Johns,Centro,3,Drive-Thru,Miranda Wilson,18,Masculino,vincentharris@yahoo.com,44.91,9,35.910000000000004,Noite,Illinois (IL)
04/24/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,Derrick Contreras,Norte,14,Drive-Thru,Rebecca Ortiz,56,Feminino,haley59@noble.com,59.97,30,29.97,Noite,New York (NY)
01/30/2022, Refrigerante  ,Bebida ,4.99,1,6,Kenneth Hanson,Centro,6,Delivery,Andrew Buckley,36,Feminino,hortonbrenda@hotmail.com,29.94,6,23.94,Noite,Illinois (IL)
12/23/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,2,Jenny Sexton,Oeste,12,Drive-Thru,Peter Haney,70,Masculino,jeffrey90@hotmail.com,39.98,20,19.98,Noite,California (CA)
10/18/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,Brett Sanders,Sul,14,Drive-Thru,Christina Ferguson,62,Masculino,paul10@davis-reynolds.biz,59.97,30,29.97,Noite,Texas (TX)
10/19/2022, Sundae  ,Sobremesa ,7.99,3,2,Holly White,Norte,3,Drive-Thru,Colin Quinn,60,Masculino,graydennis@hotmail.com,15.98,6,9.98,Noite,New York (NY)
06/06/2023, Sundae  ,Sobremesa ,7.99,3,7,Mr. Scott Lindsey Jr.,Norte,8,Drive-Thru,Mark French,44,Masculino,joshua04@yahoo.com,55.93,21,34.93,Noite,New York (NY)
02/05/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,2,Kara Cox DDS,Norte,2,Drive-Thru,Mrs. Shannon Santana,26,Feminino,smartin@gmail.com,39.98,20,19.98,Noite,New York (NY)
02/15/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,10,Michael Garner,Oeste,6,Balcão,James Alvarez,32,Masculino,gardnerlisa@yahoo.com,199.9,100,99.89999999999998,Noite,California (CA)
01/24/2023, Batata Frita  ,Acompanhamento ,9.99,3,9,Suzanne Sullivan,Leste,10,Drive-Thru,Shawn Walker,68,Masculino,bradley84@gmail.com,89.91,27,62.91,Noite,Florida (FL)
09/10/2023, Sundae  ,Sobremesa ,7.99,3,7,Kenneth Johnson,Oeste,6,Drive-Thru,Carol Rodriguez,31,Masculino,mcmahonlauren@gmail.com,55.93,21,34.93,Noite,California (CA)
07/14/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Courtney Perez,Sul,2,Balcão,Frank Webb,26,Feminino,nortonchristina@hotmail.com,134.91,63,71.91,Noite,Texas (TX)
01/24/2023, Milkshake  ,Sobremesa ,10.99,5,10,Robert Sanchez,Centro,10,Balcão,Catherine Obrien,61,Feminino,gonzalezdaniel@gmail.com,109.9,50,59.900000000000006,Noite,Illinois (IL)
06/26/2022, Batata Frita  ,Acompanhamento ,9.99,3,3,Maria Francis,Oeste,10,Balcão,Anthony Huerta,39,Feminino,whitewesley@smith.com,29.97,9,20.97,Noite,California (CA)
11/21/2021, Milkshake  ,Sobremesa ,10.99,5,5,John Johnson,Oeste,3,Balcão,John Anderson,52,Feminino,stevensonwendy@yahoo.com,54.95,25,29.950000000000003,Noite,California (CA)
09/16/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,4,Jerry Archer,Sul,9,Delivery,Emily Reynolds,52,Feminino,clarenceryan@gmail.com,59.96,28,31.96,Noite,Texas (TX)
03/19/2022, Milkshake  ,Sobremesa ,10.99,5,2,Jeremy White MD,Oeste,15,Delivery,Dustin Ross,30,Feminino,nancylandry@yahoo.com,21.98,10,11.98,Noite,California (CA)
08/22/2022, Milkshake  ,Sobremesa ,10.99,5,6,Kaitlyn Gomez,Centro,10,Drive-Thru,Sheri Hudson,57,Masculino,xbarton@hotmail.com,65.94,30,35.94,Noite,Illinois (IL)
10/20/2022, Refrigerante  ,Bebida ,4.99,1,2,Robert Holmes,Leste,2,Balcão,Bryan Stark,28,Feminino,ygriffin@gmail.com,9.98,2,7.98,Noite,Florida (FL)
02/28/2023, Batata Frita  ,Acompanhamento ,9.99,3,8,Donna Clark,Sul,11,Balcão,Annette Andrews,30,Masculino,maria45@gmail.com,79.92,24,55.92,Noite,Texas (TX)
07/06/2023, Sundae  ,Sobremesa ,7.99,3,8,Deborah Owens,Centro,6,Balcão,Kyle Wang,70,Feminino,john11@yahoo.com,63.92,24,39.92,Noite,Illinois (IL)
11/30/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,7,Stephanie Jordan,Sul,7,Balcão,Christina Parker,25,Feminino,hardingronald@payne.net,104.93,49,55.93000000000001,Noite,Texas (TX)
05/23/2023, Refrigerante  ,Bebida ,4.99,1,8,Glen Chang,Sul,4,Drive-Thru,Victoria Wiggins,60,Feminino,lisa39@copeland.biz,39.92,8,31.92,Noite,Texas (TX)
07/06/2023, Sundae  ,Sobremesa ,7.99,3,4,Laura Guzman,Sul,7,Drive-Thru,Matthew Davis,69,Feminino,washingtonbrittany@richardson.com,31.96,12,19.96,Noite,Texas (TX)
02/25/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,4,Richard Yates,Sul,14,Drive-Thru,Jason Martin,36,Masculino,nweber@hotmail.com,59.96,28,31.96,Noite,Texas (TX)
07/22/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,4,Sarah Morris,Oeste,9,Drive-Thru,Shawn Garcia,29,Feminino,halldonald@watkins.org,79.96,40,39.96,Noite,California (CA)
05/23/2023, Sundae  ,Sobremesa ,7.99,3,4,Eddie Wilson,Oeste,4,Drive-Thru,Tyler Martinez,44,Feminino,chase65@carpenter.org,31.96,12,19.96,Noite,California (CA)
01/22/2022, Milkshake  ,Sobremesa ,10.99,5,7,Frank Leonard,Sul,9,Delivery,Emma Anderson,43,Feminino,williamsrobert@cochran.com,76.93,35,41.93000000000001,Noite,Texas (TX)
08/23/2023, Sundae  ,Sobremesa ,7.99,3,5,Breanna Flynn,Centro,7,Balcão,Randall Nash,28,Masculino,washingtondavid@harris.org,39.95,15,24.950000000000003,Noite,Illinois (IL)
09/26/2023, Batata Frita  ,Acompanhamento ,9.99,3,7,Brian Moore,Sul,10,Drive-Thru,Ann Wilson,63,Feminino,vanessafrost@chen-cook.info,69.93,21,48.93000000000001,Noite,Texas (TX)
01/08/2022, Milkshake  ,Sobremesa ,10.99,5,10,Angie Branch,Sul,14,Balcão,Monica Kim,24,Masculino,michael49@gmail.com,109.9,50,59.900000000000006,Noite,Texas (TX)
03/18/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,1,Justin Reyes,Leste,6,Delivery,David Wilson,21,Masculino,toddvictor@yahoo.com,19.99,10,9.989999999999998,Noite,Florida (FL)
07/27/2022, Refrigerante  ,Bebida ,4.99,1,9,Joel Moran,Centro,1,Balcão,Roger Jones,70,Feminino,orodriguez@yahoo.com,44.91,9,35.910000000000004,Noite,Illinois (IL)
06/21/2022, Sundae  ,Sobremesa ,7.99,3,6,Philip Smith,Norte,6,Drive-Thru,Robert Mccarthy,23,Feminino,jamesbrianna@miranda-bradley.com,47.94,18,29.94,Noite,New York (NY)
09/13/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,9,Ellen Moody,Sul,9,Drive-Thru,Lindsay Davis,45,Feminino,timothymurray@rowland.com,179.91,90,89.91,Noite,Texas (TX)
08/25/2022, Sundae  ,Sobremesa ,7.99,3,3,Michelle Norris DDS,Sul,9,Balcão,Katherine Romero,33,Masculino,rogerkeith@yahoo.com,23.97,9,14.97,Noite,Texas (TX)
12/16/2022, Sundae  ,Sobremesa ,7.99,3,9,Brittany Harrison,Centro,6,Balcão,Debra Taylor,65,Masculino,williamjohnson@gmail.com,71.91,27,44.91,Noite,Illinois (IL)
08/23/2022, Batata Frita  ,Acompanhamento ,9.99,3,7,Danny Meyer,Sul,3,Balcão,David Smith,54,Feminino,natashabrewer@yahoo.com,69.93,21,48.93000000000001,Noite,Texas (TX)
11/27/2022, Sundae  ,Sobremesa ,7.99,3,8,David Schultz,Sul,11,Delivery,Ashley Pearson,19,Feminino,cookstephanie@gmail.com,63.92,24,39.92,Noite,Texas (TX)
10/25/2022, Milkshake  ,Sobremesa ,10.99,5,10,Jenny Sharp,Leste,8,Drive-Thru,Matthew Baker,70,Feminino,dorothy59@yahoo.com,109.9,50,59.900000000000006,Noite,Florida (FL)
11/14/2022, Batata Frita  ,Acompanhamento ,9.99,3,7,Thomas Daugherty,Oeste,14,Balcão,Hannah Munoz,39,Feminino,sarah92@brewer.com,69.93,21,48.93000000000001,Noite,California (CA)
10/26/2022, Sundae  ,Sobremesa ,7.99,3,6,Catherine Day,Sul,3,Balcão,Jennifer Williams,44,Masculino,johnsonnicholas@gmail.com,47.94,18,29.94,Noite,Texas (TX)
09/14/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,1,Grace Ritter MD,Sul,5,Delivery,Christopher Mckay,59,Masculino,melissa89@murphy.info,14.99,7,7.99,Noite,Texas (TX)
10/16/2021, Refrigerante  ,Bebida ,4.99,1,7,Jose Chavez,Norte,13,Drive-Thru,Edward Lowe,33,Masculino,mgarcia@johns-moore.com,34.93,7,27.93,Noite,New York (NY)
11/20/2021, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,6,Mrs. Carly Guzman MD,Norte,13,Drive-Thru,James Guzman,21,Masculino,castillopeter@mckenzie.com,119.94,60,59.94,Noite,New York (NY)
04/03/2023, Sundae  ,Sobremesa ,7.99,3,3,Alicia Wolfe DDS,Oeste,3,Balcão,Michelle Green,19,Masculino,brianascott@munoz-hart.org,23.97,9,14.97,Noite,California (CA)
06/12/2023, Sundae  ,Sobremesa ,7.99,3,9,Vanessa Christensen,Oeste,1,Drive-Thru,Donald Johnson,22,Masculino,laurahogan@fowler.com,71.91,27,44.91,Noite,California (CA)
10/15/2021, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,8,Keith Hopkins,Oeste,8,Delivery,Timothy Watts,54,Masculino,suzanne93@gmail.com,159.92,80,79.91999999999999,Noite,California (CA)
04/01/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,2,Robert Baker,Oeste,12,Delivery,Monica Howard,69,Feminino,matthew59@hotmail.com,29.98,14,15.98,Noite,California (CA)
01/20/2023, Batata Frita  ,Acompanhamento ,9.99,3,1,Samuel Lindsey,Sul,1,Drive-Thru,Sandra Gibson,43,Masculino,hughessydney@hotmail.com,9.99,3,6.99,Noite,Texas (TX)
08/31/2023, Milkshake  ,Sobremesa ,10.99,5,4,Joseph Barnes,Norte,13,Delivery,Lee Kelly,46,Feminino,tonycalhoun@yahoo.com,43.96,20,23.96,Noite,New York (NY)
09/21/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,1,Brittany Gates,Centro,11,Drive-Thru,Amanda Miller,23,Masculino,curtis04@gmail.com,19.99,10,9.989999999999998,Noite,Illinois (IL)
03/30/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Dana Hart,Centro,5,Delivery,Charles Stevens,53,Feminino,timothy82@yahoo.com,99.9,30,69.9,Noite,Illinois (IL)
12/23/2022, Batata Frita  ,Acompanhamento ,9.99,3,7,Darrell Smith,Leste,7,Drive-Thru,Brian Blankenship,26,Feminino,jose37@dougherty-baker.com,69.93,21,48.93000000000001,Noite,Florida (FL)
06/19/2023, Milkshake  ,Sobremesa ,10.99,5,9,Gregory Lewis,Sul,9,Delivery,Veronica Saunders,36,Feminino,courtney63@yahoo.com,98.91,45,53.91,Noite,Texas (TX)
11/10/2021, Sundae  ,Sobremesa ,7.99,3,4,Christopher Middleton,Centro,5,Delivery,David Cook,41,Masculino,colin53@hotmail.com,31.96,12,19.96,Noite,Illinois (IL)
08/15/2022, Milkshake  ,Sobremesa ,10.99,5,6,Angela Spears,Centro,10,Drive-Thru,Anthony Aguilar,54,Masculino,tfoster@gmail.com,65.94,30,35.94,Noite,Illinois (IL)
06/16/2023, Milkshake  ,Sobremesa ,10.99,5,1,Albert Schmidt,Oeste,15,Delivery,Samantha Baldwin,55,Masculino,saundersrachel@peterson.info,10.99,5,5.99,Noite,California (CA)
02/19/2022, Milkshake  ,Sobremesa ,10.99,5,6,Gary Mitchell,Oeste,13,Drive-Thru,Rachel Vaughn MD,36,Masculino,chloe32@hotmail.com,65.94,30,35.94,Noite,California (CA)
05/26/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,8,April Gomez,Norte,2,Delivery,Steven Braun,20,Feminino,crystal11@gmail.com,159.92,80,79.91999999999999,Noite,New York (NY)
12/18/2022, Milkshake  ,Sobremesa ,10.99,5,6,Carlos Vaughan,Sul,1,Drive-Thru,Patricia Leon,62,Feminino,jennifer86@gmail.com,65.94,30,35.94,Noite,Texas (TX)
10/22/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,1,Kimberly Perkins,Oeste,15,Balcão,Michelle Graham,56,Feminino,nicholashill@yahoo.com,19.99,10,9.989999999999998,Noite,California (CA)
01/17/2023, Refrigerante  ,Bebida ,4.99,1,2,Andre Henderson,Centro,2,Delivery,Colleen Miller,43,Masculino,jpowell@pena.net,9.98,2,7.98,Noite,Illinois (IL)
01/24/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,5,Laura Foley,Oeste,6,Drive-Thru,Elizabeth Smith,64,Masculino,stephenhill@pierce.biz,74.95,35,39.95,Noite,California (CA)
12/12/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,3,Evan Hernandez,Centro,15,Delivery,Rebecca Schneider,20,Feminino,zreed@turner.biz,44.97,21,23.97,Noite,Illinois (IL)
12/25/2021, Batata Frita  ,Acompanhamento ,9.99,3,6,Christopher Ramirez,Sul,8,Balcão,Robert Benson,61,Masculino,moorejill@hotmail.com,59.94,18,41.94,Noite,Texas (TX)
