Data da Venda,Nome do Produto,Categoria do Produto,Preço Unitário do Produto,Custo de Produção Unitário,Quantidade Vendida,Nome do Funcionário,Região do Fast Food,Tempo de Atendimento (min),Tipo de Atendimento,Nome do Cliente,Idade do Cliente,Gênero do Cliente,Valor Total de Venda,Custo Total de Produção,Lucro,Estado
2022-06-22,Batata Frita,Acompanhamento,9.99,3,7,Theresa Roberts,Norte,7,Drive-Thru,Christina Ramirez,39,Feminino,69.93,21,48.93000000000001,New York (NY)
2022-05-20,Sundae,Sobremesa,7.99,3,9,Melissa Lucas,Leste,12,Balcão,Natalie Kelley,40,Feminino,71.91,27,44.91,Florida (FL)
2023-05-23,Refrigerante,Bebida,4.99,1,4,Tyler Mueller,Centro,2,Drive-Thru,Nicholas Sims,67,Masculino,19.96,4,15.96,Illinois (IL)
2022-09-11,Hambúrguer Simples,Hambúrguer,14.99,7,8,Stephen Glass,Sul,2,Delivery,Colleen Price,47,Feminino,119.92,56,63.92,Texas (TX)
2023-02-25,Hambúrguer Simples,Hambúrguer,14.99,7,4,Richard Roberts,Sul,15,Drive-Thru,Katherine Smith,59,Masculino,59.96,28,31.96,Texas (TX)
2022-05-28,Milkshake,Sobremesa,10.99,5,2,Michael Williamson,Norte,3,Balcão,Jeffrey Burton,52,Feminino,21.98,10,11.98,New York (NY)
2023-03-12,Sundae,Sobremesa,7.99,3,8,Ebony Maxwell,Oeste,4,Delivery,James Lin,34,Masculino,63.92,24,39.92,California (CA)
2022-03-28,Sundae,Sobremesa,7.99,3,5,Paul Blackwell,Centro,11,Balcão,Allison Flores,40,Masculino,39.95,15,24.950000000000003,Illinois (IL)
2022-10-29,Milkshake,Sobremesa,10.99,5,6,Samantha Diaz,Centro,14,Drive-Thru,Pamela Watson,28,Feminino,65.94,30,35.94,Illinois (IL)
2021-10-05,Sundae,Sobremesa,7.99,3,5,Kyle Hopkins,Sul,7,Drive-Thru,Pamela Mejia,21,Feminino,39.95,15,24.950000000000003,Texas (TX)
2023-08-29,Sundae,Sobremesa,7.99,3,4,Dr. Courtney Jones,Oeste,2,Drive-Thru,Eddie Adams,59,Masculino,31.96,12,19.96,California (CA)
2022-01-04,Milkshake,Sobremesa,10.99,5,10,Julian Swanson,Norte,9,Delivery,Donna Juarez,59,Masculino,109.9,50,59.900000000000006,New York (NY)
2023-04-28,Sundae,Sobremesa,7.99,3,8,Cynthia Thomas,Oeste,4,Delivery,Mark Ford,41,Masculino,63.92,24,39.92,California (CA)
2023-02-25,Batata Frita,Acompanhamento,9.99,3,2,Kenneth Wiley,Norte,4,Balcão,Ethan Brock,50,Feminino,19.98,6,13.98,New York (NY)
2022-02-02,Sundae,Sobremesa,7.99,3,10,Cody Hill,Oeste,15,Balcão,Jessica Pugh,43,Masculino,79.9,30,49.900000000000006,California (CA)
2022-11-19,Sundae,Sobremesa,7.99,3,2,Sarah Scott,Centro,8,Drive-Thru,Tracy Taylor,19,Masculino,15.98,6,9.98,Illinois (IL)
2022-09-06,Batata Frita,Acompanhamento,9.99,3,9,Matthew Schmitt,Oeste,1,Drive-Thru,Patrick Hull,24,Masculino,89.91,27,62.91,California (CA)
2022-07-05,Sundae,Sobremesa,7.99,3,8,Courtney Hall,Leste,3,Delivery,David Summers,67,Masculino,63.92,24,39.92,Florida (FL)
2023-06-28,Batata Frita,Acompanhamento,9.99,3,5,Sue Burgess,Leste,7,Drive-Thru,Christine Jones,19,Masculino,49.95,15,34.95,Florida (FL)
2021-12-04,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Kimberly Smith,Oeste,13,Delivery,Daniel Gray,20,Feminino,119.94,60,59.94,California (CA)
2022-10-28,Milkshake,Sobremesa,10.99,5,2,Kristin Wilson,Leste,11,Delivery,Clayton Horton,51,Feminino,21.98,10,11.98,Florida (FL)
2022-12-25,Refrigerante,Bebida,4.99,1,9,Lori Wade,Oeste,6,Delivery,Amanda Todd,23,Masculino,44.91,9,35.910000000000004,California (CA)
2022-09-07,Sundae,Sobremesa,7.99,3,10,Darlene Garrett,Centro,8,Delivery,Dr. Robert Roman,28,Masculino,79.9,30,49.900000000000006,Illinois (IL)
2023-06-22,Hambúrguer Simples,Hambúrguer,14.99,7,10,Sarah Phillips,Centro,6,Drive-Thru,Ruth Trujillo,42,Masculino,149.9,70,79.9,Illinois (IL)
2023-03-25,Milkshake,Sobremesa,10.99,5,7,Lori Bailey,Oeste,4,Delivery,Lauren Townsend,64,Masculino,76.93,35,41.93000000000001,California (CA)
2022-12-22,Milkshake,Sobremesa,10.99,5,5,Kevin Wheeler,Leste,8,Delivery,Dana Martinez,34,Masculino,54.95,25,29.950000000000003,Florida (FL)
2021-11-04,Hambúrguer Duplo,Hambúrguer,19.99,10,8,Michael Martinez,Oeste,3,Drive-Thru,Audrey Anderson,40,Masculino,159.92,80,79.91999999999999,California (CA)
2022-11-16,Milkshake,Sobremesa,10.99,5,3,Holly Hernandez,Leste,15,Balcão,Thomas Clements,18,Feminino,32.97,15,17.97,Florida (FL)
2022-11-07,Refrigerante,Bebida,4.99,1,8,Andrew Sanchez,Oeste,14,Balcão,Mitchell Decker,21,Feminino,39.92,8,31.92,California (CA)
2022-01-23,Milkshake,Sobremesa,10.99,5,4,Joseph Ponce,Centro,6,Delivery,Victoria Gonzalez,62,Feminino,43.96,20,23.96,Illinois (IL)
2022-02-04,Hambúrguer Simples,Hambúrguer,14.99,7,2,Cory Williams,Oeste,8,Delivery,Olivia Anderson,45,Masculino,29.98,14,15.98,California (CA)
2022-06-26,Refrigerante,Bebida,4.99,1,6,Robert Byrd,Leste,3,Drive-Thru,Michelle Romero,38,Feminino,29.94,6,23.94,Florida (FL)
2022-02-25,Hambúrguer Duplo,Hambúrguer,19.99,10,5,Regina Downs,Norte,15,Delivery,Susan Werner,47,Feminino,99.95,50,49.94999999999999,New York (NY)
2022-09-09,Milkshake,Sobremesa,10.99,5,6,Yvonne Reilly,Norte,14,Drive-Thru,Shannon Torres,42,Feminino,65.94,30,35.94,New York (NY)
2022-09-01,Batata Frita,Acompanhamento,9.99,3,5,David Jones,Centro,1,Delivery,Carrie Dixon,59,Masculino,49.95,15,34.95,Illinois (IL)
2022-06-16,Refrigerante,Bebida,4.99,1,7,Phillip Marshall,Sul,7,Delivery,Justin Green,21,Feminino,34.93,7,27.93,Texas (TX)
2021-12-15,Sundae,Sobremesa,7.99,3,4,Jill Lopez,Norte,14,Delivery,Jean Richardson,53,Masculino,31.96,12,19.96,New York (NY)
2023-03-09,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Valerie Church,Leste,15,Drive-Thru,Zachary Reed,35,Feminino,119.94,60,59.94,Florida (FL)
2022-08-08,Hambúrguer Simples,Hambúrguer,14.99,7,10,Michelle Cooper,Leste,1,Drive-Thru,Erica Yates,54,Feminino,149.9,70,79.9,Florida (FL)
2022-11-03,Milkshake,Sobremesa,10.99,5,8,Karen Aguirre,Norte,4,Balcão,Michael Riley,43,Masculino,87.92,40,47.92,New York (NY)
2023-03-01,Milkshake,Sobremesa,10.99,5,10,Heather Valdez,Norte,10,Delivery,Kelsey Franklin,18,Feminino,109.9,50,59.900000000000006,New York (NY)
2022-05-21,Refrigerante,Bebida,4.99,1,4,Ashley Robertson,Centro,9,Delivery,Kathleen Clark,39,Feminino,19.96,4,15.96,Illinois (IL)
2022-02-15,Hambúrguer Simples,Hambúrguer,14.99,7,10,Nicholas Adams,Centro,3,Delivery,Christopher Williams,49,Masculino,149.9,70,79.9,Illinois (IL)
2022-01-10,Refrigerante,Bebida,4.99,1,6,Victoria Ford,Sul,4,Balcão,Karen Smith,67,Masculino,29.94,6,23.94,Texas (TX)
2022-04-13,Hambúrguer Simples,Hambúrguer,14.99,7,6,Larry Rodriguez,Leste,1,Balcão,Wayne Miller,27,Feminino,89.94,42,47.94,Florida (FL)
2021-11-02,Sundae,Sobremesa,7.99,3,10,Marisa Houston,Leste,12,Delivery,Julia Mcdaniel,48,Feminino,79.9,30,49.900000000000006,Florida (FL)
2022-07-24,Milkshake,Sobremesa,10.99,5,8,Patricia Pope,Oeste,6,Drive-Thru,Jacob Hart,49,Masculino,87.92,40,47.92,California (CA)
2022-07-16,Sundae,Sobremesa,7.99,3,5,Joseph Noble,Leste,2,Delivery,William Benitez,67,Masculino,39.95,15,24.950000000000003,Florida (FL)
2022-08-18,Sundae,Sobremesa,7.99,3,8,Robert Reynolds,Norte,7,Balcão,Christopher Rivera,39,Masculino,63.92,24,39.92,New York (NY)
2023-01-31,Refrigerante,Bebida,4.99,1,2,Joshua Williams,Leste,13,Delivery,Tiffany Alexander,22,Masculino,9.98,2,7.98,Florida (FL)
2023-09-20,Milkshake,Sobremesa,10.99,5,9,Jessica Lucas,Oeste,14,Drive-Thru,Jonathan Ross,27,Masculino,98.91,45,53.91,California (CA)
2022-07-12,Milkshake,Sobremesa,10.99,5,8,Alexander Weeks,Leste,15,Balcão,Tammy Dominguez,69,Feminino,87.92,40,47.92,Florida (FL)
2023-05-14,Sundae,Sobremesa,7.99,3,10,Hector Morris,Sul,13,Drive-Thru,John Lopez,47,Feminino,79.9,30,49.900000000000006,Texas (TX)
2022-12-19,Refrigerante,Bebida,4.99,1,8,Heather Goodman,Centro,3,Balcão,Cheryl Smith,19,Masculino,39.92,8,31.92,Illinois (IL)
2023-07-05,Refrigerante,Bebida,4.99,1,2,Ricky Pineda,Centro,5,Drive-Thru,Brooke Swanson,63,Masculino,9.98,2,7.98,Illinois (IL)
2022-06-30,Milkshake,Sobremesa,10.99,5,1,Jeff Bowman,Oeste,3,Drive-Thru,Paul Randall,60,Masculino,10.99,5,5.99,California (CA)
2022-04-24,Milkshake,Sobremesa,10.99,5,1,Timothy Young,Sul,5,Delivery,Colleen Gibbs,54,Masculino,10.99,5,5.99,Texas (TX)
2023-01-27,Batata Frita,Acompanhamento,9.99,3,2,Brian Montgomery,Leste,12,Drive-Thru,Christopher Baldwin,21,Masculino,19.98,6,13.98,Florida (FL)
2022-01-28,Sundae,Sobremesa,7.99,3,5,Michael Jones,Leste,7,Balcão,Lindsay Brooks,47,Masculino,39.95,15,24.950000000000003,Florida (FL)
2021-12-17,Batata Frita,Acompanhamento,9.99,3,1,Leslie Gutierrez,Leste,9,Balcão,Peter Gonzalez,29,Feminino,9.99,3,6.99,Florida (FL)
2021-10-23,Hambúrguer Simples,Hambúrguer,14.99,7,1,Joshua Davidson,Centro,15,Delivery,Michael Holmes,51,Feminino,14.99,7,7.99,Illinois (IL)
2022-06-30,Sundae,Sobremesa,7.99,3,8,Barbara Martin,Norte,1,Delivery,Angela Kemp,54,Feminino,63.92,24,39.92,New York (NY)
2022-12-09,Hambúrguer Simples,Hambúrguer,14.99,7,8,Julie Turner,Oeste,8,Drive-Thru,Benjamin Tyler,56,Masculino,119.92,56,63.92,California (CA)
2023-01-28,Milkshake,Sobremesa,10.99,5,5,Laurie Knox,Leste,2,Balcão,Susan Fox,33,Masculino,54.95,25,29.950000000000003,Florida (FL)
2023-06-13,Hambúrguer Simples,Hambúrguer,14.99,7,10,Jonathon Zhang,Norte,7,Drive-Thru,Angel Rodriguez,51,Feminino,149.9,70,79.9,New York (NY)
2023-09-20,Milkshake,Sobremesa,10.99,5,9,Scott Clark,Centro,11,Drive-Thru,Scott Martinez,66,Feminino,98.91,45,53.91,Illinois (IL)
2022-09-11,Refrigerante,Bebida,4.99,1,7,Virginia Deleon,Centro,6,Balcão,Jennifer Durham,29,Feminino,34.93,7,27.93,Illinois (IL)
2023-07-17,Milkshake,Sobremesa,10.99,5,2,Nicole Bennett,Norte,4,Delivery,Brittany Franklin,59,Masculino,21.98,10,11.98,New York (NY)
2023-03-11,Batata Frita,Acompanhamento,9.99,3,5,Lisa Wade,Sul,9,Delivery,Karen Jenkins,43,Feminino,49.95,15,34.95,Texas (TX)
2022-06-02,Milkshake,Sobremesa,10.99,5,7,Shannon Walsh,Norte,7,Drive-Thru,Laura Haynes,62,Feminino,76.93,35,41.93000000000001,New York (NY)
2022-08-01,Refrigerante,Bebida,4.99,1,2,Christopher Walker,Sul,5,Balcão,Jennifer Dunn,51,Masculino,9.98,2,7.98,Texas (TX)
2021-10-21,Hambúrguer Simples,Hambúrguer,14.99,7,1,Erik Rubio,Leste,2,Drive-Thru,Gabrielle Long,62,Feminino,14.99,7,7.99,Florida (FL)
2023-09-28,Hambúrguer Duplo,Hambúrguer,19.99,10,1,Richard Schmidt,Oeste,13,Drive-Thru,Samuel Hall,42,Feminino,19.99,10,9.989999999999998,California (CA)
2022-12-11,Milkshake,Sobremesa,10.99,5,5,Alan Bullock,Norte,1,Delivery,Melissa Kidd,26,Feminino,54.95,25,29.950000000000003,New York (NY)
2023-05-06,Batata Frita,Acompanhamento,9.99,3,1,Edward Lee,Centro,8,Drive-Thru,Tommy Baker,49,Feminino,9.99,3,6.99,Illinois (IL)
2021-11-12,Hambúrguer Simples,Hambúrguer,14.99,7,6,Rhonda King,Centro,3,Drive-Thru,Kyle Williams,65,Masculino,89.94,42,47.94,Illinois (IL)
2022-04-15,Hambúrguer Simples,Hambúrguer,14.99,7,7,Christopher Garner,Norte,13,Drive-Thru,Robin Stark,40,Masculino,104.93,49,55.93000000000001,New York (NY)
2023-04-27,Milkshake,Sobremesa,10.99,5,3,Joseph Rodriguez,Leste,3,Drive-Thru,Julie Bailey,32,Masculino,32.97,15,17.97,Florida (FL)
2023-08-24,Refrigerante,Bebida,4.99,1,2,Erin Mathews,Leste,15,Drive-Thru,Yesenia Jones,49,Masculino,9.98,2,7.98,Florida (FL)
2023-02-25,Batata Frita,Acompanhamento,9.99,3,2,Alejandro Barrett,Leste,6,Drive-Thru,Brooke York,37,Feminino,19.98,6,13.98,Florida (FL)
2022-06-28,Sundae,Sobremesa,7.99,3,6,Ashley Wilkinson,Norte,13,Balcão,Jeffrey Stephens,56,Masculino,47.94,18,29.94,New York (NY)
2023-04-05,Refrigerante,Bebida,4.99,1,4,Sarah Wilson,Leste,4,Drive-Thru,Brian Mueller,63,Feminino,19.96,4,15.96,Florida (FL)
2022-12-03,Sundae,Sobremesa,7.99,3,5,Jonathan Wheeler,Sul,8,Drive-Thru,Timothy Richardson,23,Feminino,39.95,15,24.950000000000003,Texas (TX)
2022-08-07,Hambúrguer Simples,Hambúrguer,14.99,7,4,Steven Pruitt,Centro,8,Delivery,Wendy Jones,46,Masculino,59.96,28,31.96,Illinois (IL)
2022-09-16,Hambúrguer Duplo,Hambúrguer,19.99,10,7,Frank Gardner,Norte,8,Balcão,Bernard Jackson,66,Feminino,139.92999999999998,70,69.92999999999998,New York (NY)
2023-08-10,Milkshake,Sobremesa,10.99,5,9,Scott Bell,Oeste,8,Drive-Thru,Jose May,30,Feminino,98.91,45,53.91,California (CA)
2022-08-18,Hambúrguer Duplo,Hambúrguer,19.99,10,7,Brent Andersen,Oeste,8,Balcão,Diane Jackson,21,Masculino,139.92999999999998,70,69.92999999999998,California (CA)
2022-08-11,Milkshake,Sobremesa,10.99,5,3,Diana Perry,Centro,15,Drive-Thru,Brandi Lewis,43,Masculino,32.97,15,17.97,Illinois (IL)
2023-05-04,Refrigerante,Bebida,4.99,1,6,Nicole Johnson,Norte,14,Balcão,Monica Montes,35,Masculino,29.94,6,23.94,New York (NY)
2022-03-12,Sundae,Sobremesa,7.99,3,1,Joshua Sanchez,Centro,1,Drive-Thru,Thomas Henderson,35,Feminino,7.99,3,4.99,Illinois (IL)
2022-07-17,Hambúrguer Duplo,Hambúrguer,19.99,10,7,Dan Weaver,Oeste,4,Delivery,Peter Baldwin,37,Feminino,139.92999999999998,70,69.92999999999998,California (CA)
2022-12-29,Milkshake,Sobremesa,10.99,5,2,Judith Hall,Sul,10,Balcão,Laura Miller DVM,67,Feminino,21.98,10,11.98,Texas (TX)
2023-04-15,Batata Frita,Acompanhamento,9.99,3,4,Charles Bryant,Oeste,11,Drive-Thru,William Dickerson,20,Masculino,39.96,12,27.96,California (CA)
2023-06-04,Hambúrguer Duplo,Hambúrguer,19.99,10,10,David Harrington,Sul,11,Balcão,Samantha Williams,24,Feminino,199.9,100,99.89999999999998,Texas (TX)
2023-08-09,Milkshake,Sobremesa,10.99,5,8,Rebecca Espinoza,Centro,9,Drive-Thru,Matthew Barry,29,Masculino,87.92,40,47.92,Illinois (IL)
2022-02-11,Milkshake,Sobremesa,10.99,5,4,Danny Davis,Leste,6,Balcão,Crystal Howell,19,Masculino,43.96,20,23.96,Florida (FL)
2023-02-22,Hambúrguer Duplo,Hambúrguer,19.99,10,1,Katherine Barker,Centro,5,Delivery,April Thompson,24,Masculino,19.99,10,9.989999999999998,Illinois (IL)
2023-08-04,Hambúrguer Simples,Hambúrguer,14.99,7,5,Heather Sanders,Centro,3,Balcão,Ryan Morales,52,Masculino,74.95,35,39.95,Illinois (IL)
2023-06-02,Hambúrguer Simples,Hambúrguer,14.99,7,10,Juan Scott,Oeste,8,Delivery,Jennifer Harris,50,Feminino,149.9,70,79.9,California (CA)
2022-03-21,Milkshake,Sobremesa,10.99,5,4,Bryan Roberts,Leste,15,Drive-Thru,Edward Alexander,28,Feminino,43.96,20,23.96,Florida (FL)
2022-08-06,Batata Frita,Acompanhamento,9.99,3,3,Ariel Gonzalez,Norte,7,Drive-Thru,Patricia Rodriguez,51,Feminino,29.97,9,20.97,New York (NY)
2022-02-07,Batata Frita,Acompanhamento,9.99,3,3,Michael Hart,Oeste,6,Delivery,Sierra Williams,38,Feminino,29.97,9,20.97,California (CA)
2023-09-21,Hambúrguer Duplo,Hambúrguer,19.99,10,1,Deborah Brown,Norte,5,Delivery,Kristin Gray,25,Feminino,19.99,10,9.989999999999998,New York (NY)
2022-09-20,Sundae,Sobremesa,7.99,3,8,Mary Foster,Leste,7,Delivery,Micheal Mcbride,53,Feminino,63.92,24,39.92,Florida (FL)
2022-06-15,Sundae,Sobremesa,7.99,3,8,Adriana Massey,Centro,6,Balcão,Daniel Smith,61,Feminino,63.92,24,39.92,Illinois (IL)
2023-09-07,Batata Frita,Acompanhamento,9.99,3,1,Matthew Spencer,Leste,1,Delivery,Kim Mejia,69,Feminino,9.99,3,6.99,Florida (FL)
2023-05-18,Milkshake,Sobremesa,10.99,5,8,John Miller,Centro,1,Delivery,Victoria Campbell,57,Masculino,87.92,40,47.92,Illinois (IL)
2023-04-04,Batata Frita,Acompanhamento,9.99,3,5,Brandon Cooper,Oeste,8,Balcão,Jennifer Sanchez,42,Masculino,49.95,15,34.95,California (CA)
2023-05-11,Batata Frita,Acompanhamento,9.99,3,10,Jenna Perkins,Sul,2,Balcão,Ashley House,21,Masculino,99.9,30,69.9,Texas (TX)
2022-12-26,Milkshake,Sobremesa,10.99,5,2,Rhonda Price,Oeste,7,Balcão,Sharon Hernandez,69,Feminino,21.98,10,11.98,California (CA)
2023-04-21,Batata Frita,Acompanhamento,9.99,3,2,Jordan Cook,Oeste,3,Balcão,Erika Austin,32,Feminino,19.98,6,13.98,California (CA)
2022-05-22,Batata Frita,Acompanhamento,9.99,3,1,Dr. Trevor Miller,Norte,1,Drive-Thru,Sean Lee,68,Feminino,9.99,3,6.99,New York (NY)
2023-05-28,Hambúrguer Duplo,Hambúrguer,19.99,10,7,William Raymond Jr.,Leste,10,Drive-Thru,Roger Miller,35,Feminino,139.92999999999998,70,69.92999999999998,Florida (FL)
2021-11-13,Refrigerante,Bebida,4.99,1,6,Brian Morgan,Centro,13,Balcão,Crystal Daniels,26,Feminino,29.94,6,23.94,Illinois (IL)
2021-12-24,Hambúrguer Simples,Hambúrguer,14.99,7,8,Mrs. Valerie King PhD,Oeste,11,Balcão,David Long,61,Masculino,119.92,56,63.92,California (CA)
2021-12-18,Milkshake,Sobremesa,10.99,5,10,Lori Malone,Sul,4,Balcão,Christopher Thompson,69,Feminino,109.9,50,59.900000000000006,Texas (TX)
2022-05-06,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Aaron Wilson,Sul,15,Balcão,Joseph Schroeder,57,Masculino,119.94,60,59.94,Texas (TX)
2022-08-07,Batata Frita,Acompanhamento,9.99,3,8,Kyle Ortiz,Norte,13,Balcão,Margaret Larsen,32,Masculino,79.92,24,55.92,New York (NY)
2022-05-28,Batata Frita,Acompanhamento,9.99,3,3,Molly Reid,Sul,15,Drive-Thru,Lauren Foster,23,Feminino,29.97,9,20.97,Texas (TX)
2022-04-14,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Natasha Thomas,Centro,5,Drive-Thru,Bryan Dunlap,51,Feminino,119.94,60,59.94,Illinois (IL)
2023-05-12,Milkshake,Sobremesa,10.99,5,3,Katelyn Peterson,Oeste,14,Balcão,Dr. Sonya Perkins MD,56,Masculino,32.97,15,17.97,California (CA)
2022-10-15,Refrigerante,Bebida,4.99,1,1,Patrick Carter,Oeste,9,Delivery,Crystal Williamson,42,Feminino,4.99,1,3.99,California (CA)
2023-01-05,Sundae,Sobremesa,7.99,3,1,Dale Kidd,Sul,4,Delivery,Marco Garcia,50,Feminino,7.99,3,4.99,Texas (TX)
2023-04-13,Milkshake,Sobremesa,10.99,5,5,Laurie Horne,Sul,10,Delivery,Billy Arroyo,26,Masculino,54.95,25,29.950000000000003,Texas (TX)
2023-07-10,Batata Frita,Acompanhamento,9.99,3,10,Jessica Cruz,Norte,5,Balcão,Brenda Patel,59,Masculino,99.9,30,69.9,New York (NY)
2023-05-09,Hambúrguer Simples,Hambúrguer,14.99,7,4,Scott Burke,Sul,8,Drive-Thru,Melissa Morris,69,Feminino,59.96,28,31.96,Texas (TX)
2022-05-21,Hambúrguer Simples,Hambúrguer,14.99,7,9,Elizabeth Coleman,Leste,8,Balcão,Donna Ware,45,Feminino,134.91,63,71.91,Florida (FL)
2021-11-25,Batata Frita,Acompanhamento,9.99,3,6,Timothy Stone,Norte,15,Drive-Thru,Michael House,40,Feminino,59.94,18,41.94,New York (NY)
2022-03-07,Sundae,Sobremesa,7.99,3,3,Caroline White,Leste,11,Delivery,Jennifer Smith,44,Masculino,23.97,9,14.97,Florida (FL)
2022-07-25,Milkshake,Sobremesa,10.99,5,10,Mr. Ricardo Williams,Oeste,6,Delivery,Christopher Ferguson,57,Feminino,109.9,50,59.900000000000006,California (CA)
2022-03-29,Hambúrguer Duplo,Hambúrguer,19.99,10,1,Roy Jones,Centro,15,Drive-Thru,Sheri Aguilar,64,Feminino,19.99,10,9.989999999999998,Illinois (IL)
2021-11-24,Hambúrguer Simples,Hambúrguer,14.99,7,1,Anthony Abbott,Leste,8,Balcão,James Wong,51,Masculino,14.99,7,7.99,Florida (FL)
2022-11-25,Batata Frita,Acompanhamento,9.99,3,4,Shawn Wilson,Leste,7,Drive-Thru,Harold Petersen,59,Masculino,39.96,12,27.96,Florida (FL)
2023-04-19,Sundae,Sobremesa,7.99,3,1,Nicole Patel,Sul,5,Balcão,Michelle Rollins,66,Feminino,7.99,3,4.99,Texas (TX)
2022-09-07,Batata Frita,Acompanhamento,9.99,3,8,Daniel Woods,Oeste,9,Balcão,Brenda Morris,26,Masculino,79.92,24,55.92,California (CA)
2023-02-13,Batata Frita,Acompanhamento,9.99,3,7,Jill Jackson,Oeste,3,Balcão,Melinda Gonzalez,27,Masculino,69.93,21,48.93000000000001,California (CA)
2022-12-24,Sundae,Sobremesa,7.99,3,7,Shelby Barton,Sul,5,Drive-Thru,Donald Kane,34,Masculino,55.93,21,34.93,Texas (TX)
2021-12-15,Batata Frita,Acompanhamento,9.99,3,10,Richard Cooper,Sul,3,Drive-Thru,Sonya Ortiz,48,Masculino,99.9,30,69.9,Texas (TX)
2023-04-02,Hambúrguer Duplo,Hambúrguer,19.99,10,10,Christopher Hood,Oeste,2,Delivery,Cheyenne Cooper,22,Masculino,199.9,100,99.89999999999998,California (CA)
2021-11-22,Refrigerante,Bebida,4.99,1,8,Jessica Garcia,Norte,7,Drive-Thru,Nicholas Griffith,67,Feminino,39.92,8,31.92,New York (NY)
2023-04-24,Sundae,Sobremesa,7.99,3,10,Cheryl Bowman,Norte,11,Drive-Thru,James Grant,28,Masculino,79.9,30,49.900000000000006,New York (NY)
2022-07-29,Hambúrguer Simples,Hambúrguer,14.99,7,6,Dale Powell,Oeste,13,Drive-Thru,Christina Brown,29,Masculino,89.94,42,47.94,California (CA)
2023-03-24,Refrigerante,Bebida,4.99,1,2,Misty Thomas,Sul,2,Drive-Thru,Brian Hall,37,Masculino,9.98,2,7.98,Texas (TX)
2023-06-03,Refrigerante,Bebida,4.99,1,10,Cody Baldwin,Sul,12,Delivery,Jaime Johnson,48,Masculino,49.900000000000006,10,39.900000000000006,Texas (TX)
2023-09-08,Batata Frita,Acompanhamento,9.99,3,4,Garrett Horn,Oeste,14,Delivery,Cameron Miller,38,Feminino,39.96,12,27.96,California (CA)
2023-02-12,Refrigerante,Bebida,4.99,1,2,Joshua Livingston,Norte,12,Balcão,Robert Morgan,62,Masculino,9.98,2,7.98,New York (NY)
2022-03-12,Milkshake,Sobremesa,10.99,5,8,Lori Clark,Centro,9,Drive-Thru,Justin Foster,35,Feminino,87.92,40,47.92,Illinois (IL)
2022-10-21,Sundae,Sobremesa,7.99,3,1,Carmen Blake,Oeste,13,Drive-Thru,Sean Anderson,52,Masculino,7.99,3,4.99,California (CA)
2021-11-25,Hambúrguer Simples,Hambúrguer,14.99,7,8,Maria Willis,Sul,1,Delivery,Jonathan Lopez,56,Masculino,119.92,56,63.92,Texas (TX)
2022-07-25,Refrigerante,Bebida,4.99,1,9,Russell Williams,Leste,6,Balcão,Amber Jimenez,58,Masculino,44.91,9,35.910000000000004,Florida (FL)
2022-07-05,Refrigerante,Bebida,4.99,1,4,Stacey Choi,Norte,13,Balcão,David Gray,31,Feminino,19.96,4,15.96,New York (NY)
2022-05-21,Hambúrguer Duplo,Hambúrguer,19.99,10,10,David Monroe,Norte,1,Delivery,Wendy Anderson,34,Masculino,199.9,100,99.89999999999998,New York (NY)
2023-06-05,Milkshake,Sobremesa,10.99,5,9,Nathan Lindsey,Oeste,5,Balcão,Lisa Randolph,28,Masculino,98.91,45,53.91,California (CA)
2023-09-01,Hambúrguer Simples,Hambúrguer,14.99,7,1,Robert Miller DVM,Centro,7,Drive-Thru,Mr. Derek Fry,56,Masculino,14.99,7,7.99,Illinois (IL)
2023-07-15,Sundae,Sobremesa,7.99,3,6,James Miller,Sul,6,Delivery,Alicia Clay,39,Feminino,47.94,18,29.94,Texas (TX)
2022-12-23,Refrigerante,Bebida,4.99,1,2,Kathleen Clark,Centro,15,Delivery,Mary Dixon,43,Feminino,9.98,2,7.98,Illinois (IL)
2022-01-26,Refrigerante,Bebida,4.99,1,1,Joy Luna,Leste,11,Delivery,Melanie Turner,18,Feminino,4.99,1,3.99,Florida (FL)
2023-06-25,Batata Frita,Acompanhamento,9.99,3,6,James Faulkner,Oeste,5,Delivery,Joanna Hill,25,Feminino,59.94,18,41.94,California (CA)
2023-02-02,Milkshake,Sobremesa,10.99,5,1,James Decker,Sul,14,Drive-Thru,Ryan Edwards,68,Masculino,10.99,5,5.99,Texas (TX)
2023-08-25,Refrigerante,Bebida,4.99,1,1,Amanda Buchanan,Oeste,11,Drive-Thru,Mrs. Leslie Johnson,42,Feminino,4.99,1,3.99,California (CA)
2022-04-10,Hambúrguer Duplo,Hambúrguer,19.99,10,8,Tyler Sampson,Norte,9,Balcão,Heather Garcia,45,Feminino,159.92,80,79.91999999999999,New York (NY)
2022-05-03,Refrigerante,Bebida,4.99,1,3,Stephen Adams,Leste,12,Balcão,Monica Evans,66,Feminino,14.97,3,11.97,Florida (FL)
2021-12-15,Hambúrguer Simples,Hambúrguer,14.99,7,3,Alexis Glass,Leste,6,Delivery,Gregory Hamilton,56,Feminino,44.97,21,23.97,Florida (FL)
